"exercise_id","exercise_name","muscle_group","max_priority","risk_regions","movement_patterns","source_packages","suggested_contraindications","suggested_pain_limitation_tags","suggested_regressions","suggested_equivalent_substitutes","suggested_progressions","suggested_equipment","conflict_notes","reviewer_status","reviewer_name","reviewed_at","reviewer_notes","approval_decision_reason","ready_for_upsert"
"ae13d351-7019-4b7d-b0e6-cea4b8fea50d","Cadeira Flexora com Flexão de Quadril","posterior de coxa","dry_run","","","curation-v2-safe-target-return-11","","","","","","","before=Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50; after=Posterior de Coxa:primary:100","needs_review","","","Flexora is a knee-flexion posterior-chain exercise; the current push-muscle signature is documented as contamination.","dry_run_noop_not_approved","false"
"4a8b14bf-d7a8-422d-932a-63a3af07e453","Cadeira Flexora com Flexão de Quadril Unilateral","posterior de coxa","dry_run","","","curation-v2-safe-target-return-11","","","","","","","before=Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50; after=Posterior de Coxa:primary:100","needs_review","","","Unilateral flexora remains a posterior-coxa primary pattern; unilateral status does not support the current peitoral/triceps contamination.","dry_run_noop_not_approved","false"
"3bd15908-90de-4c6a-8c64-31ad3c75f845","Coice Polia Baixa","glúteo","dry_run","","","curation-v2-safe-target-return-11","","","","","","","before=Tríceps:primary:100; after=Glúteo:primary:100","needs_review","","","Coice/kickback in cable setup maps to glute primary; triceps primary is the documented contaminated signature.","dry_run_noop_not_approved","false"
"e6058264-060f-4e41-83ee-6810f38ca520","Coice Polia Média","glúteo","dry_run","","","curation-v2-safe-target-return-11","","","","","","","before=Tríceps:primary:100; after=Glúteo:primary:100","needs_review","","","Medium-cable coice is retained as glute primary in this safe return; no triceps target is supported by the reviewed family.","dry_run_noop_not_approved","false"
"efde85ec-e714-44b9-928c-8db249f06c04","Extensão de Quadril Banco Romano com Flexão","glúteo","dry_run","","","curation-v2-safe-target-return-11","","","","","","","before=Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50; after=Glúteo:primary:100","needs_review","","","Visual review resolved setup as banco romano/45 graus for efde85ec and advanced it only to the separate targets/volume stage; this remains a safe draft with ready_for_upsert=false and still requires QA before any upsert.","dry_run_noop_not_approved","false"
"258bfac0-5456-462d-8530-a8204af6b8f8","Glúteo Coice Polia Banco","glúteo","dry_run","","","curation-v2-safe-target-return-11","","","","","","","before=Tríceps:primary:100; after=Glúteo:primary:100","needs_review","","","Bench-supported glute cable kickback remains glute primary; triceps primary is the contaminated signature.","dry_run_noop_not_approved","false"
"8fece0e9-3907-4f54-86b4-54a088cb0540","Crucifixo Invertido com Peito no Banco","ombro","dry_run","","","curation-v2-safe-target-return-11","","","","","","","before=Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50; after=Deltoide Posterior:primary:100","needs_review","","","Reverse fly variation maps to posterior deltoid primary; current pushing-muscle signature is contamination.","dry_run_noop_not_approved","false"
"8a461d7f-c174-4488-8dca-b4339ad26c81","Crucifixo Invertido Cruzado Polia","ombro","dry_run","","","curation-v2-safe-target-return-11","","","","","","","before=Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50; after=Deltoide Posterior:primary:100","needs_review","","","Cable crossed reverse fly is a posterior-shoulder pattern; no peitoral/triceps target is retained in this safe draft.","dry_run_noop_not_approved","false"
"6e9fdaca-5bfb-420c-b5bf-5beddcce6c05","Crucifixo Invertido Sentado","ombro","dry_run","","","curation-v2-safe-target-return-11","","","","","","","before=Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50; after=Deltoide Posterior:primary:100","needs_review","","","Seated reverse fly is grouped with posterior deltoid precedents; final approval still requires independent QA before upsert.","dry_run_noop_not_approved","false"
"b5265c3f-05a3-4fdc-834a-2b6f0c69d12b","Crucifixo Invertido Unilateral Polia","ombro","dry_run","","","curation-v2-safe-target-return-11","","","","","","","before=Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50; after=Deltoide Posterior:primary:100","needs_review","","","Unilateral cable reverse fly remains posterior deltoid primary; this artifact keeps it non-upsertable pending QA.","dry_run_noop_not_approved","false"
"bf33e722-9da1-4e32-af62-546bb5176c3a","Rosca Scott Barra","bíceps","dry_run","","","curation-v2-safe-target-return-11","","","","","","","before=Bíceps:secondary:50 | Deltoide Posterior:secondary:50 | Dorsal:primary:100 | Trapézio:secondary:50; after=Bíceps:primary:100","needs_review","","","Rosca Scott is an elbow-flexion biceps exercise; dorsal/trapezio/posterior-deltoid signature is treated as contamination.","dry_run_noop_not_approved","false"
